title,href
BUG: SparseDataFrame op incorrectly casting to float,/pandas-dev/pandas/pull/28107
DataFrameGroupby.boxplot fails when subplots=False,/pandas-dev/pandas/pull/28102
COMPAT: implement visit_Constant for 3.8 compat,/pandas-dev/pandas/pull/28101
Bug: merge_asof() cannot use datetime.timedelta as tolerance kwarg ,/pandas-dev/pandas/pull/28100
"PERF: replace with list, closes #28084",/pandas-dev/pandas/pull/28099
EHN: groupby missing data in index,/pandas-dev/pandas/pull/28097
Docstrings,/pandas-dev/pandas/pull/28096
Fixes issue #27563,/pandas-dev/pandas/pull/28091
DOC: Make explicit in pandas IO doc the imports and options,/pandas-dev/pandas/pull/28089
DOC: Remove alias for numpy.random.randn from the docs,/pandas-dev/pandas/pull/28082
REF: separate bloated test,/pandas-dev/pandas/pull/28081
DOC: redirect from_csv search,/pandas-dev/pandas/pull/28075
REF: do extract_array earlier in series arith/comparison ops,/pandas-dev/pandas/pull/28066
DOC:Timestamp timedelta,/pandas-dev/pandas/pull/28053
Make DataFrame.to_string output full content by default,/pandas-dev/pandas/pull/28052
TST: fix compression tests when run without virtualenv/condaenv,/pandas-dev/pandas/pull/28051
BUG: timedelta64(NaT) incorrectly treated as datetime in some dataframe ops,/pandas-dev/pandas/pull/28049
BUG: retain extension dtypes in transpose,/pandas-dev/pandas/pull/28048
Issue 20927 fix resolves read_sas error for dates/datetimes greater than 2262-04-11,/pandas-dev/pandas/pull/28047
REF: boilerplate for ops internal consistency,/pandas-dev/pandas/pull/28037
CLN: small ops optimizations,/pandas-dev/pandas/pull/28036
Add support to names keyword in Index,/pandas-dev/pandas/pull/28032
DOC: Fix docstrings lack of punctuation,/pandas-dev/pandas/pull/28031
REF: standardize usage in DataFrame vs SparseDataFrame ops,/pandas-dev/pandas/pull/28027
CLN: timeseries in plotting clean up,/pandas-dev/pandas/pull/28020
DOC/TST: Update the parquet (pyarrow >= 0.15) docs and tests regarding Categorical support,/pandas-dev/pandas/pull/28018
Adding new pandas website,/pandas-dev/pandas/pull/28014
Avoid duplicating entire exploded column when joining back with origi…,/pandas-dev/pandas/pull/28010
DOC: Improve melt example (#23844),/pandas-dev/pandas/pull/28006
Hack fix for BUG - GH24784,/pandas-dev/pandas/pull/28003
TST 27905 - testing groupby.transform('sum'),/pandas-dev/pandas/pull/28002
"When a DataFrame is merged with an empty dataframe, it was creating an incorrect index for the resulting dataframe. Fix for it ",/pandas-dev/pandas/pull/28000
ENH: Add support for dataclasses in the DataFrame constructor,/pandas-dev/pandas/pull/27999
"Raise exception in read_csv when prefix is set, but not used because a header exists",/pandas-dev/pandas/pull/27998
BUG/TST: fix and test for timezone drop in GroupBy.shift/bfill/ffill,/pandas-dev/pandas/pull/27992
DOC: Fix GL01 and GL02 errors in the docstrings,/pandas-dev/pandas/pull/27988
Support str param type for partition_cols in to_parquet function,/pandas-dev/pandas/pull/27984
Read csv test,/pandas-dev/pandas/pull/27982
DOC: Fixing flake8 error in basics.rst,/pandas-dev/pandas/pull/27981
Series.rename now handles values by Series constructor ,/pandas-dev/pandas/pull/27975
test case for transform with fillna #27905,/pandas-dev/pandas/pull/27974
DOC: Added periods to end of docstrings in explode function.  #23630,/pandas-dev/pandas/pull/27973
Added Engine Disposal Documentation,/pandas-dev/pandas/pull/27972
Added try-except clause to catch numpy error.,/pandas-dev/pandas/pull/27970
BUG: don't cache pandas matplotlib converters (#27036),/pandas-dev/pandas/pull/27968
updated default quoting on to_csv function to csv.QUOTE_NONNUMERIC,/pandas-dev/pandas/pull/27965
"added names, fastpath parameters explanation to pandas.Series",/pandas-dev/pandas/pull/27964
pandas.read_parquet now has info that it accepts path_to_directory that contains multiple parquet files,/pandas-dev/pandas/pull/27961
DOC: Add missing parameters to Series constructor,/pandas-dev/pandas/pull/27960
REF: use dispatch_to_extension_op for bool ops,/pandas-dev/pandas/pull/27959
Remove null values before sorting during groupby nunique calculation,/pandas-dev/pandas/pull/27951
TST: parametrize and de-duplicate arith tests,/pandas-dev/pandas/pull/27950
API: Add string extension type,/pandas-dev/pandas/pull/27949
"CLN: internals.blocks cleanup, typing",/pandas-dev/pandas/pull/27941
BUG: set_precision format fixed (#13257),/pandas-dev/pandas/pull/27934
[DEPR] Deprecate numeric_only parameter in Categorical.min and max,/pandas-dev/pandas/pull/27929
Assignment of column via .loc for numpy non-ns datetimes,/pandas-dev/pandas/pull/27928
BUG: Lambda function returns KeyError in DataFrameGroupBy.agg,/pandas-dev/pandas/pull/27921
STYLE: run pre-commit filters on the repo,/pandas-dev/pandas/pull/27915
CLN: Catch more specific exceptions in groupby,/pandas-dev/pandas/pull/27909
EHN: Add encoding_errors option in pandas.DataFrame.to_csv (#27750),/pandas-dev/pandas/pull/27899
Infer names in MultiIndex.from_product,/pandas-dev/pandas/pull/27895
unique() should preserve the dtype of the input,/pandas-dev/pandas/pull/27874
BUG: DataFrameGroupBy.transform and ngroup do not work with cumcount,/pandas-dev/pandas/pull/27858
DOC: GroupBy.head()/tail() documentation,/pandas-dev/pandas/pull/27844
Parametrize JSON tests,/pandas-dev/pandas/pull/27838
[WIP] Improve CI/CD pipeline performance,/pandas-dev/pandas/pull/27804
